Top 100 Frequent Words Per Year
============================================================

Year: 1985 (Total Docs: 1835)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
26    | 小时                             | 322        | 11.15          
27    | 优点                             | 289        | 10.00          
28    | 含量                             | 288        | 9.97           
29    | 量                              | 284        | 9.83           
30    | 出                              | 282        | 9.76           
31    | 含                              | 278        | 9.62           
32    | 表面                             | 276        | 9.55           
33    | 时间                             | 270        | 9.35           
34    | 效果                             | 270        | 9.35           
35    | 材料                             | 265        | 9.17           
36    | 而成                             | 264        | 9.14           
37    | 低                              | 259        | 8.97           
38    | 剂                              | 257        | 8.90           
39    | 过程                             | 253        | 8.76           
40    | 均                              | 253        | 8.76           
41    | 干燥                             | 253        | 8.76           
42    | 均匀                             | 250        | 8.65           
43    | 输出                             | 246        | 8.52           
44    | 药物                             | 244        | 8.45           
45    | 过滤                             | 244        | 8.45           
46    | 搅拌                             | 244        | 8.45           
47    | 加热                             | 240        | 8.31           
48    | 溶液                             | 239        | 8.27           
49    | 设备                             | 231        | 8.00           
50    | 比例                             | 227        | 7.86           
51    | 条件                             | 227        | 7.86           
52    | 操作                             | 226        | 7.82           
53    | 固定                             | 223        | 7.72           
54    | 分钟                             | 223        | 7.72           
55    | 式                              | 222        | 7.68           
56    | 加                              | 221        | 7.65           
57    | 份                              | 218        | 7.55           
58    | 配制                             | 216        | 7.48           
59    | 型                              | 213        | 7.37           
60    | 加工                             | 211        | 7.30           
61    | 液                              | 211        | 7.30           
62    | 功能                             | 209        | 7.23           
63    | 输入                             | 202        | 6.99           
64    | 成本低                            | 201        | 6.96           
65    | 器                              | 199        | 6.89           
66    | 信号                             | 199        | 6.89           
67    | 领域                             | 199        | 6.89           
68    | 分离                             | 199        | 6.89           
69    | 物                              | 197        | 6.82           
70    | 电路                             | 196        | 6.78           
71    | 性能                             | 196        | 6.78           
72    | 配比                             | 194        | 6.72           
73    | 金属                             | 192        | 6.65           
74    | 中药                             | 191        | 6.61           
75    | 分                              | 190        | 6.58           
76    | 特别                             | 189        | 6.54           
77    | 压力                             | 189        | 6.54           
78    | 设置                             | 187        | 6.47           
79    | 百分比                            | 186        | 6.44           
80    | 作                              | 185        | 6.40           
81    | 设有                             | 183        | 6.33           
82    | 法                              | 181        | 6.27           
83    | 配方                             | 179        | 6.20           
84    | 冷却                             | 179        | 6.20           
85    | 组分                             | 179        | 6.20           
86    | 即可                             | 178        | 6.16           
87    | 端                              | 177        | 6.13           
88    | 外                              | 176        | 6.09           
89    | 安装                             | 175        | 6.06           
90    | 浓度                             | 174        | 6.02           
91    | 多种                             | 172        | 5.95           
92    | 成分                             | 171        | 5.92           
93    | 疗效                             | 170        | 5.88           
94    | 达                              | 170        | 5.88           
95    | 组合                             | 169        | 5.85           
96    | 现有                             | 167        | 5.78           
97    | 两个                             | 166        | 5.75           
98    | 二                              | 165        | 5.71           
99    | 工作                             | 160        | 5.54           
100   | 制得                             | 159        | 5.50           

Year: 1994 (Total Docs: 2959)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 1530       | 51.71          
2     | 重量                             | 800        | 27.04          
3     | 采用                             | 712        | 24.06          
4     | 原料                             | 622        | 21.02          
5     | 制备                             | 614        | 20.75          
6     | 制成                             | 596        | 20.14          
7     | 工艺                             | 582        | 19.67          
8     | 高                              | 551        | 18.62          
9     | 时                              | 531        | 17.95          
10    | 温度                             | 495        | 16.73          
11    | 混合                             | 484        | 16.36          
12    | 成                              | 481        | 16.26          
13    | 生产                             | 429        | 14.50          
14    | 简单                             | 428        | 14.46          
15    | 控制                             | 404        | 13.65          
16    | 之间                             | 367        | 12.40          
17    | 含有                             | 361        | 12.20          
18    | 提高                             | 359        | 12.13          
19    | 水                              | 359        | 12.13          
20    | 治疗                             | 359        | 12.13          
21    | 作用                             | 357        | 12.06          
22    | 技术                             | 353        | 11.93          
23    | 利用                             | 344        | 11.63          
24    | 产品                             | 342        | 11.56          
25    | 优点                             | 336        | 11.36          
26    | 小时                             | 334        | 11.29          
27    | 过程                             | 318        | 10.75          
28    | 而成                             | 294        | 9.94           
29    | 含                              | 289        | 9.77           
30    | 表面                             | 281        | 9.50           
31    | 出                              | 279        | 9.43           
32    | 含量                             | 279        | 9.43           
33    | 输出                             | 275        | 9.29           
34    | 材料                             | 272        | 9.19           
35    | 低                              | 271        | 9.16           
36    | 量                              | 269        | 9.09           
37    | 条件                             | 268        | 9.06           
38    | 均匀                             | 266        | 8.99           
39    | 式                              | 264        | 8.92           
40    | 制造                             | 261        | 8.82           
41    | 时间                             | 259        | 8.75           
42    | 搅拌                             | 259        | 8.75           
43    | 剂                              | 258        | 8.72           
44    | 干燥                             | 252        | 8.52           
45    | 过滤                             | 252        | 8.52           
46    | 固定                             | 246        | 8.31           
47    | 均                              | 244        | 8.25           
48    | 加热                             | 243        | 8.21           
49    | 比例                             | 240        | 8.11           
50    | 设有                             | 234        | 7.91           
51    | 分钟                             | 234        | 7.91           
52    | 溶液                             | 234        | 7.91           
53    | 效果                             | 233        | 7.87           
54    | 输入                             | 230        | 7.77           
55    | 分离                             | 228        | 7.71           
56    | 领域                             | 227        | 7.67           
57    | 配制                             | 225        | 7.60           
58    | 设备                             | 224        | 7.57           
59    | 型                              | 221        | 7.47           
60    | 加工                             | 217        | 7.33           
61    | 液                              | 217        | 7.33           
62    | 成本低                            | 217        | 7.33           
63    | 功能                             | 216        | 7.30           
64    | 器                              | 214        | 7.23           
65    | 药物                             | 214        | 7.23           
66    | 配比                             | 213        | 7.20           
67    | 操作                             | 211        | 7.13           
68    | 百分比                            | 210        | 7.10           
69    | 信号                             | 209        | 7.06           
70    | 特别                             | 208        | 7.03           
71    | 设置                             | 207        | 7.00           
72    | 作                              | 203        | 6.86           
73    | 体                              | 202        | 6.83           
74    | 物                              | 202        | 6.83           
75    | 金属                             | 200        | 6.76           
76    | 性能                             | 198        | 6.69           
77    | 份                              | 196        | 6.62           
78    | 两个                             | 195        | 6.59           
79    | 加                              | 192        | 6.49           
80    | 端                              | 192        | 6.49           
81    | 浓度                             | 186        | 6.29           
82    | 组分                             | 186        | 6.29           
83    | 冷却                             | 185        | 6.25           
84    | 分                              | 184        | 6.22           
85    | 安装                             | 184        | 6.22           
86    | 中药                             | 183        | 6.18           
87    | 外                              | 181        | 6.12           
88    | 粉碎                             | 181        | 6.12           
89    | 达                              | 180        | 6.08           
90    | 法                              | 179        | 6.05           
91    | 合成                             | 176        | 5.95           
92    | 催化剂                            | 176        | 5.95           
93    | 粉                              | 175        | 5.91           
94    | 电路                             | 175        | 5.91           
95    | 先                              | 172        | 5.81           
96    | 二                              | 172        | 5.81           
97    | 位置                             | 170        | 5.75           
98    | 稳定                             | 170        | 5.75           
99    | 成分                             | 169        | 5.71           
100   | 压力                             | 168        | 5.68           

Year: 1995 (Total Docs: 3072)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 1507       | 49.06          
2     | 重量                             | 864        | 28.12          
3     | 采用                             | 672        | 21.88          
4     | 原料                             | 668        | 21.74          
5     | 制成                             | 658        | 21.42          
6     | 制备                             | 640        | 20.83          
7     | 高                              | 603        | 19.63          
8     | 工艺                             | 597        | 19.43          
9     | 时                              | 554        | 18.03          
10    | 混合                             | 542        | 17.64          
11    | 温度                             | 495        | 16.11          
12    | 生产                             | 475        | 15.46          
13    | 简单                             | 469        | 15.27          
14    | 成                              | 466        | 15.17          
15    | 提高                             | 417        | 13.57          
16    | 水                              | 416        | 13.54          
17    | 治疗                             | 412        | 13.41          
18    | 利用                             | 373        | 12.14          
19    | 控制                             | 371        | 12.08          
20    | 作用                             | 366        | 11.91          
21    | 产品                             | 361        | 11.75          
22    | 优点                             | 360        | 11.72          
23    | 之间                             | 352        | 11.46          
24    | 小时                             | 341        | 11.10          
25    | 含有                             | 339        | 11.04          
26    | 克                              | 332        | 10.81          
27    | 过程                             | 330        | 10.74          
28    | 出                              | 317        | 10.32          
29    | 制造                             | 314        | 10.22          
30    | 技术                             | 314        | 10.22          
31    | 而成                             | 307        | 9.99           
32    | 表面                             | 302        | 9.83           
33    | 均匀                             | 297        | 9.67           
34    | 比例                             | 295        | 9.60           
35    | 含量                             | 282        | 9.18           
36    | 量                              | 281        | 9.15           
37    | 剂                              | 268        | 8.72           
38    | 份                              | 264        | 8.59           
39    | 条件                             | 263        | 8.56           
40    | 加热                             | 263        | 8.56           
41    | 材料                             | 261        | 8.50           
42    | 时间                             | 258        | 8.40           
43    | 过滤                             | 256        | 8.33           
44    | 低                              | 255        | 8.30           
45    | 搅拌                             | 253        | 8.24           
46    | 效果                             | 251        | 8.17           
47    | 成本低                            | 249        | 8.11           
48    | 含                              | 246        | 8.01           
49    | 药物                             | 245        | 7.98           
50    | 物                              | 244        | 7.94           
51    | 溶液                             | 241        | 7.85           
52    | 加工                             | 241        | 7.85           
53    | 配比                             | 241        | 7.85           
54    | 分离                             | 239        | 7.78           
55    | 均                              | 238        | 7.75           
56    | 干燥                             | 233        | 7.58           
57    | 固定                             | 232        | 7.55           
58    | 输出                             | 232        | 7.55           
59    | 功能                             | 225        | 7.32           
60    | 设备                             | 225        | 7.32           
61    | 式                              | 224        | 7.29           
62    | 液                              | 223        | 7.26           
63    | 数据                             | 222        | 7.23           
64    | 输入                             | 218        | 7.10           
65    | 领域                             | 217        | 7.06           
66    | 型                              | 216        | 7.03           
67    | 粉碎                             | 214        | 6.97           
68    | 分钟                             | 213        | 6.93           
69    | 操作                             | 212        | 6.90           
70    | 百分比                            | 212        | 6.90           
71    | 数据网                            | 212        | 6.90           
72    | 成份                             | 211        | 6.87           
73    | 马                              | 211        | 6.87           
74    | 降低                             | 209        | 6.80           
75    | 冷却                             | 209        | 6.80           
76    | 端                              | 204        | 6.64           
77    | 器                              | 203        | 6.61           
78    | 金属                             | 201        | 6.54           
79    | 设置                             | 200        | 6.51           
80    | 特别                             | 200        | 6.51           
81    | 作                              | 198        | 6.45           
82    | 组合                             | 197        | 6.41           
83    | 马克                             | 196        | 6.38           
84    | 配制                             | 194        | 6.32           
85    | 信号                             | 192        | 6.25           
86    | 法                              | 190        | 6.18           
87    | 性能                             | 189        | 6.15           
88    | 分                              | 189        | 6.15           
89    | 中药                             | 188        | 6.12           
90    | 压力                             | 187        | 6.09           
91    | 二                              | 187        | 6.09           
92    | 设有                             | 184        | 5.99           
93    | 数                              | 184        | 5.99           
94    | 加                              | 182        | 5.92           
95    | 配方                             | 182        | 5.92           
96    | 调节                             | 181        | 5.89           
97    | 合成                             | 180        | 5.86           
98    | 制作                             | 179        | 5.83           
99    | 两个                             | 178        | 5.79           
100   | 组分                             | 178        | 5.79           

Year: 1996 (Total Docs: 3825)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 1920       | 50.20          
2     | 重量                             | 1073       | 28.05          
3     | 制备                             | 858        | 22.43          
4     | 采用                             | 850        | 22.22          
5     | 原料                             | 778        | 20.34          
6     | 制成                             | 771        | 20.16          
7     | 高                              | 753        | 19.69          
8     | 工艺                             | 724        | 18.93          
9     | 混合                             | 687        | 17.96          
10    | 时                              | 663        | 17.33          
11    | 温度                             | 626        | 16.37          
12    | 克                              | 607        | 15.87          
13    | 简单                             | 574        | 15.01          
14    | 生产                             | 563        | 14.72          
15    | 成                              | 561        | 14.67          
16    | 治疗                             | 501        | 13.10          
17    | 控制                             | 492        | 12.86          
18    | 数据网                            | 485        | 12.68          
19    | 水                              | 481        | 12.58          
20    | 马                              | 466        | 12.18          
21    | 之间                             | 455        | 11.90          
22    | 利用                             | 448        | 11.71          
23    | 技术                             | 441        | 11.53          
24    | 优点                             | 436        | 11.40          
25    | 马克                             | 436        | 11.40          
26    | 提高                             | 435        | 11.37          
27    | 小时                             | 430        | 11.24          
28    | 含有                             | 411        | 10.75          
29    | 产品                             | 405        | 10.59          
30    | 作用                             | 396        | 10.35          
31    | 而成                             | 395        | 10.33          
32    | 过程                             | 386        | 10.09          
33    | 含量                             | 379        | 9.91           
34    | 制造                             | 377        | 9.86           
35    | 低                              | 376        | 9.83           
36    | 份                              | 374        | 9.78           
37    | 数                              | 373        | 9.75           
38    | 含                              | 366        | 9.57           
39    | 出                              | 360        | 9.41           
40    | 均匀                             | 353        | 9.23           
41    | 时间                             | 344        | 8.99           
42    | 比例                             | 343        | 8.97           
43    | 条件                             | 334        | 8.73           
44    | 表面                             | 331        | 8.65           
45    | 配比                             | 327        | 8.55           
46    | 量                              | 324        | 8.47           
47    | 搅拌                             | 321        | 8.39           
48    | 数据                             | 320        | 8.37           
49    | 干燥                             | 314        | 8.21           
50    | 来源                             | 313        | 8.18           
51    | 材料                             | 311        | 8.13           
52    | 物                              | 310        | 8.10           
53    | 效果                             | 304        | 7.95           
54    | 网                              | 303        | 7.92           
55    | 药物                             | 302        | 7.90           
56    | 剂                              | 301        | 7.87           
57    | 设备                             | 300        | 7.84           
58    | 式                              | 295        | 7.71           
59    | 过滤                             | 295        | 7.71           
60    | 成本低                            | 293        | 7.66           
61    | 型                              | 291        | 7.61           
62    | 均                              | 290        | 7.58           
63    | 分离                             | 289        | 7.56           
64    | 加热                             | 285        | 7.45           
65    | 溶液                             | 285        | 7.45           
66    | 功能                             | 284        | 7.42           
67    | 金属                             | 282        | 7.37           
68    | 操作                             | 279        | 7.29           
69    | 领域                             | 278        | 7.27           
70    | 加工                             | 277        | 7.24           
71    | 粉碎                             | 275        | 7.19           
72    | 固定                             | 273        | 7.14           
73    | 输出                             | 273        | 7.14           
74    | 配制                             | 269        | 7.03           
75    | 性能                             | 268        | 7.01           
76    | 输入                             | 267        | 6.98           
77    | 百分比                            | 267        | 6.98           
78    | 号                              | 267        | 6.98           
79    | 设有                             | 257        | 6.72           
80    | 特别                             | 256        | 6.69           
81    | 分钟                             | 250        | 6.54           
82    | 液                              | 249        | 6.51           
83    | 催化剂                            | 246        | 6.43           
84    | 信号                             | 245        | 6.41           
85    | 组合                             | 245        | 6.41           
86    | 降低                             | 244        | 6.38           
87    | 设置                             | 244        | 6.38           
88    | 成份                             | 239        | 6.25           
89    | 外                              | 236        | 6.17           
90    | 冷却                             | 231        | 6.04           
91    | 组分                             | 229        | 5.99           
92    | 即可                             | 226        | 5.91           
93    | 体                              | 225        | 5.88           
94    | 需                              | 221        | 5.78           
95    | 现有                             | 220        | 5.75           
96    | 压力                             | 220        | 5.75           
97    | 中药                             | 220        | 5.75           
98    | 器                              | 219        | 5.73           
99    | 二                              | 217        | 5.67           
100   | 加                              | 217        | 5.67           

Year: 1997 (Total Docs: 4626)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 2377       | 51.38          
2     | 重量                             | 1188       | 25.68          
3     | 制备                             | 1029       | 22.24          
4     | 采用                             | 940        | 20.32          
5     | 原料                             | 912        | 19.71          
6     | 克                              | 906        | 19.58          
7     | 制成                             | 882        | 19.07          
8     | 时                              | 866        | 18.72          
9     | 高                              | 843        | 18.22          
10    | 工艺                             | 811        | 17.53          
11    | 马                              | 762        | 16.47          
12    | 数据网                            | 759        | 16.41          
13    | 混合                             | 720        | 15.56          
14    | 马克                             | 696        | 15.05          
15    | 温度                             | 683        | 14.76          
16    | 成                              | 657        | 14.20          
17    | 控制                             | 622        | 13.45          
18    | 简单                             | 619        | 13.38          
19    | 生产                             | 617        | 13.34          
20    | 提高                             | 600        | 12.97          
21    | 治疗                             | 594        | 12.84          
22    | 数                              | 590        | 12.75          
23    | 利用                             | 557        | 12.04          
24    | 水                              | 538        | 11.63          
25    | 技术                             | 538        | 11.63          
26    | 之间                             | 533        | 11.52          
27    | 含有                             | 504        | 10.89          
28    | 产品                             | 491        | 10.61          
29    | 作用                             | 481        | 10.40          
30    | 数据                             | 474        | 10.25          
31    | 过程                             | 462        | 9.99           
32    | 优点                             | 462        | 9.99           
33    | 份                              | 458        | 9.90           
34    | 含量                             | 457        | 9.88           
35    | 出                              | 454        | 9.81           
36    | 网                              | 453        | 9.79           
37    | 小时                             | 450        | 9.73           
38    | 制造                             | 448        | 9.68           
39    | 表面                             | 448        | 9.68           
40    | 来源                             | 430        | 9.30           
41    | 药物                             | 419        | 9.06           
42    | 搅拌                             | 407        | 8.80           
43    | 而成                             | 406        | 8.78           
44    | 均匀                             | 405        | 8.75           
45    | 材料                             | 395        | 8.54           
46    | 配比                             | 395        | 8.54           
47    | 设有                             | 394        | 8.52           
48    | 低                              | 392        | 8.47           
49    | 号                              | 392        | 8.47           
50    | 剂                              | 390        | 8.43           
51    | 条件                             | 385        | 8.32           
52    | 时间                             | 385        | 8.32           
53    | 量                              | 382        | 8.26           
54    | 固定                             | 380        | 8.21           
55    | 效果                             | 369        | 7.98           
56    | 含                              | 367        | 7.93           
57    | 比例                             | 366        | 7.91           
58    | 操作                             | 365        | 7.89           
59    | 输出                             | 360        | 7.78           
60    | 金属                             | 358        | 7.74           
61    | 设备                             | 353        | 7.63           
62    | 式                              | 352        | 7.61           
63    | 过滤                             | 350        | 7.57           
64    | 加热                             | 349        | 7.54           
65    | 设置                             | 347        | 7.50           
66    | 干燥                             | 345        | 7.46           
67    | 均                              | 344        | 7.44           
68    | 加工                             | 342        | 7.39           
69    | 领域                             | 340        | 7.35           
70    | 物                              | 333        | 7.20           
71    | 信号                             | 331        | 7.16           
72    | 组合                             | 329        | 7.11           
73    | 溶液                             | 318        | 6.87           
74    | 成本低                            | 317        | 6.85           
75    | 公众                             | 312        | 6.74           
76    | 输入                             | 311        | 6.72           
77    | 分离                             | 308        | 6.66           
78    | 特别                             | 307        | 6.64           
79    | 降低                             | 307        | 6.64           
80    | 功能                             | 307        | 6.64           
81    | 端                              | 306        | 6.61           
82    | 型                              | 302        | 6.53           
83    | 二                              | 296        | 6.40           
84    | 至少                             | 295        | 6.38           
85    | 粉碎                             | 294        | 6.36           
86    | 中药                             | 294        | 6.36           
87    | 分钟                             | 293        | 6.33           
88    | 组分                             | 289        | 6.25           
89    | 配制                             | 288        | 6.23           
90    | 压力                             | 287        | 6.20           
91    | 外                              | 285        | 6.16           
92    | 位置                             | 283        | 6.12           
93    | 更                              | 279        | 6.03           
94    | 百分比                            | 277        | 5.99           
95    | 安装                             | 273        | 5.90           
96    | 液                              | 272        | 5.88           
97    | 器                              | 270        | 5.84           
98    | 下述                             | 266        | 5.75           
99    | 催化剂                            | 265        | 5.73           
100   | 即可                             | 265        | 5.73           

Year: 1998 (Total Docs: 5489)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 2786       | 50.76          
2     | 重量                             | 1370       | 24.96          
3     | 克                              | 1283       | 23.37          
4     | 制备                             | 1280       | 23.32          
5     | 马                              | 1175       | 21.41          
6     | 采用                             | 1167       | 21.26          
7     | 原料                             | 1075       | 19.58          
8     | 数据网                            | 1061       | 19.33          
9     | 高                              | 1058       | 19.27          
10    | 时                              | 1025       | 18.67          
11    | 马克                             | 969        | 17.65          
12    | 制成                             | 961        | 17.51          
13    | 工艺                             | 923        | 16.82          
14    | 数                              | 893        | 16.27          
15    | 混合                             | 864        | 15.74          
16    | 温度                             | 806        | 14.68          
17    | 数据                             | 805        | 14.67          
18    | 成                              | 781        | 14.23          
19    | 简单                             | 759        | 13.83          
20    | 技术                             | 750        | 13.66          
21    | 网                              | 723        | 13.17          
22    | 提高                             | 717        | 13.06          
23    | 控制                             | 713        | 12.99          
24    | 利用                             | 707        | 12.88          
25    | 之间                             | 695        | 12.66          
26    | 生产                             | 674        | 12.28          
27    | 来源                             | 643        | 11.71          
28    | 水                              | 629        | 11.46          
29    | 治疗                             | 610        | 11.11          
30    | 产品                             | 600        | 10.93          
31    | 号                              | 589        | 10.73          
32    | 小时                             | 579        | 10.55          
33    | 过程                             | 576        | 10.49          
34    | 含有                             | 572        | 10.42          
35    | 制造                             | 567        | 10.33          
36    | 优点                             | 561        | 10.22          
37    | 作用                             | 557        | 10.15          
38    | 表面                             | 553        | 10.07          
39    | 出                              | 530        | 9.66           
40    | 含量                             | 503        | 9.16           
41    | 而成                             | 503        | 9.16           
42    | 均匀                             | 499        | 9.09           
43    | 设有                             | 495        | 9.02           
44    | 效果                             | 480        | 8.74           
45    | 材料                             | 475        | 8.65           
46    | 搅拌                             | 475        | 8.65           
47    | 份                              | 471        | 8.58           
48    | 更                              | 468        | 8.53           
49    | 时间                             | 468        | 8.53           
50    | 公众                             | 468        | 8.53           
51    | 低                              | 464        | 8.45           
52    | 配比                             | 461        | 8.40           
53    | 输出                             | 453        | 8.25           
54    | 量                              | 453        | 8.25           
55    | 领域                             | 451        | 8.22           
56    | 固定                             | 442        | 8.05           
57    | 条件                             | 441        | 8.03           
58    | 含                              | 439        | 8.00           
59    | 操作                             | 430        | 7.83           
60    | 设置                             | 426        | 7.76           
61    | 加热                             | 422        | 7.69           
62    | 干燥                             | 421        | 7.67           
63    | 分离                             | 421        | 7.67           
64    | 搜索                             | 421        | 7.67           
65    | 溶液                             | 418        | 7.62           
66    | 式                              | 416        | 7.58           
67    | 成本低                            | 416        | 7.58           
68    | 降低                             | 413        | 7.52           
69    | 输入                             | 412        | 7.51           
70    | 设备                             | 410        | 7.47           
71    | 比例                             | 409        | 7.45           
72    | 金属                             | 407        | 7.41           
73    | 药物                             | 402        | 7.32           
74    | 过滤                             | 398        | 7.25           
75    | 均                              | 395        | 7.20           
76    | 剂                              | 391        | 7.12           
77    | 信号                             | 388        | 7.07           
78    | 物                              | 383        | 6.98           
79    | 加工                             | 379        | 6.90           
80    | 分钟                             | 379        | 6.90           
81    | 至少                             | 379        | 6.90           
82    | 功能                             | 378        | 6.89           
83    | 百分比                            | 356        | 6.49           
84    | 端                              | 356        | 6.49           
85    | 液                              | 343        | 6.25           
86    | 器                              | 343        | 6.25           
87    | 性能                             | 341        | 6.21           
88    | 型                              | 341        | 6.21           
89    | 粉碎                             | 336        | 6.12           
90    | 安装                             | 335        | 6.10           
91    | 组合                             | 335        | 6.10           
92    | 催化剂                            | 333        | 6.07           
93    | 两个                             | 329        | 5.99           
94    | 整理                             | 327        | 5.96           
95    | 特别                             | 326        | 5.94           
96    | 第一                             | 326        | 5.94           
97    | 现有                             | 325        | 5.92           
98    | 需                              | 322        | 5.87           
99    | 即可                             | 319        | 5.81           
100   | 二                              | 319        | 5.81           

Year: 1999 (Total Docs: 6804)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 3526       | 51.82          
2     | 重量                             | 1644       | 24.16          
3     | 克                              | 1637       | 24.06          
4     | 数据网                            | 1511       | 22.21          
5     | 马                              | 1505       | 22.12          
6     | 制备                             | 1481       | 21.77          
7     | 采用                             | 1421       | 20.88          
8     | 马克                             | 1397       | 20.53          
9     | 时                              | 1295       | 19.03          
10    | 高                              | 1266       | 18.61          
11    | 原料                             | 1203       | 17.68          
12    | 数                              | 1139       | 16.74          
13    | 制成                             | 1093       | 16.06          
14    | 混合                             | 1063       | 15.62          
15    | 数据                             | 1028       | 15.11          
16    | 工艺                             | 1011       | 14.86          
17    | 控制                             | 979        | 14.39          
18    | 温度                             | 971        | 14.27          
19    | 网                              | 957        | 14.07          
